Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,table_1_flag,Geocoded_City1,Geocoded_City2
2024,3,30721,30559,"Boston, MA (Metropolitan Area)","Seattle, WA",2496,2159,351.64,AS,0.3890,349.22,B6,0.1975,346.29,-1,,
2024,3,31295,31454,"Detroit, MI","Orlando, FL",957,2156,175.92,DL,0.6065,213.82,NK,0.2692,104.25,-1,,
2024,3,30397,32211,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,2107,285.13,DL,0.4847,397.53,NK,0.2385,127.73,-1,,
2024,3,30994,31703,"Charleston, SC","New York City, NY (Metropolitan Area)",677,2081,163.15,DL,0.2801,197.91,NK,0.1067,98.11,-1,,
2024,3,33570,30852,"San Diego, CA","Washington, DC (Metropolitan Area)",2295,2079,300.12,UA,0.3977,328.49,WN,0.2551,306.25,-1,,
2024,3,30325,31454,"Denver, CO","Orlando, FL",1546,2034,209.82,UA,0.3984,247.88,F9,0.2307,124.35,-1,,
2024,3,30721,34100,"Boston, MA (Metropolitan Area)","Philadelphia, PA",289,2032,173.56,AA,0.6501,187.91,B6,0.1779,140.68,-1,,
2024,3,33495,31703,"New Orleans, LA","New York City, NY (Metropolitan Area)",1218,2020,194.34,DL,0.3632,207.99,B6,0.1179,169.10,-1,,
2024,3,30194,31453,"Dallas/Fort Worth, TX","Houston, TX",247,1989,168.66,WN,0.4513,173.40,AA,0.2965,168.48,-1,,
2024,3,30721,31057,"Boston, MA (Metropolitan Area)","Charlotte, NC",737,1988,183.63,AA,0.6059,201.29,B6,0.1122,141.73,-1,,
2024,3,31453,31454,"Houston, TX","Orlando, FL",854,1977,185.24,UA,0.3781,222.15,NK,0.1545,113.72,-1,,
2024,3,30977,33570,"Chicago, IL","San Diego, CA",1728,1966,272.32,UA,0.3769,304.39,WN,0.2856,237.47,-1,,
2024,3,30397,32457,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1956,331.74,DL,0.5468,402.51,F9,0.1021,146.53,-1,,
2024,3,31650,30559,"Minneapolis/St. Paul, MN","Seattle, WA",1399,1949,218.54,DL,0.3800,270.17,SY,0.3098,142.64,-1,,
2024,3,30397,31295,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,1946,193.44,DL,0.6536,238.41,NK,0.2454,96.66,-1,,
2024,3,30693,30852,"Nashville, TN","Washington, DC (Metropolitan Area)",587,1931,205.36,WN,0.5370,207.01,AA,0.1792,203.43,-1,,
2024,3,31295,30852,"Detroit, MI","Washington, DC (Metropolitan Area)",409,1921,198.37,DL,0.6193,210.29,WN,0.1324,174.11,-1,,
2024,3,30721,34492,"Boston, MA (Metropolitan Area)","Raleigh/Durham, NC",625,1917,163.82,DL,0.3810,199.60,B6,0.3342,160.75,-1,,
2024,3,32211,32467,"Las Vegas, NV","Miami, FL (Metropolitan Area)",2174,1916,237.89,AA,0.4042,315.47,NK,0.2866,127.03,-1,,
2024,3,31136,31703,"Jacksonville, FL","New York City, NY (Metropolitan Area)",858,1912,203.87,UA,0.3377,204.09,B6,0.2300,176.63,-1,,
2024,3,30423,32457,"Austin, TX","San Francisco, CA (Metropolitan Area)",1504,1908,284.36,WN,0.3864,278.23,AS,0.2086,247.64,-1,,
2024,3,30792,31703,"Buffalo, NY","New York City, NY (Metropolitan Area)",326,1908,149.68,B6,0.3893,124.79,B6,0.3893,124.79,-1,,
2024,3,32467,32457,"Miami, FL (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2585,1906,285.59,AA,0.3610,286.83,UA,0.2599,262.42,-1,,
2024,3,30977,30693,"Chicago, IL","Nashville, TN",409,1896,178.51,WN,0.4801,167.01,WN,0.4801,167.01,-1,,
2024,3,31650,30466,"Minneapolis/St. Paul, MN","Phoenix, AZ",1276,1896,176.25,DL,0.5146,205.36,SY,0.2107,109.56,-1,,
2024,3,31057,30852,"Charlotte, NC","Washington, DC (Metropolitan Area)",361,1882,173.12,AA,0.6773,184.60,WN,0.1795,135.27,-1,,
2024,3,34614,32457,"Salt Lake City, UT","San Francisco, CA (Metropolitan Area)",599,1865,184.64,DL,0.5392,203.77,WN,0.2502,157.41,-1,,
2024,3,31295,32211,"Detroit, MI","Las Vegas, NV",1749,1852,230.69,DL,0.5752,296.67,NK,0.3115,122.09,-1,,
2024,3,31453,32457,"Houston, TX","San Francisco, CA (Metropolitan Area)",1649,1828,308.80,UA,0.5693,361.20,WN,0.2638,266.42,-1,,
2024,3,30325,34100,"Denver, CO","Philadelphia, PA",1558,1823,233.24,AA,0.3729,251.26,F9,0.1694,125.35,-1,,
2024,3,31295,32467,"Detroit, MI","Miami, FL (Metropolitan Area)",1145,1817,190.52,DL,0.6514,218.16,NK,0.2362,109.45,-1,,
2024,3,32211,33570,"Las Vegas, NV","San Diego, CA",258,1814,128.16,WN,0.7088,138.61,NK,0.1287,80.86,-1,,
2024,3,32211,31650,"Las Vegas, NV","Minneapolis/St. Paul, MN",1299,1812,163.46,DL,0.5401,199.92,SY,0.3432,109.58,-1,,
2024,3,31650,32457,"Minneapolis/St. Paul, MN","San Francisco, CA (Metropolitan Area)",1589,1807,245.33,DL,0.5250,306.00,SY,0.3360,137.23,-1,,
2024,3,30194,30693,"Dallas/Fort Worth, TX","Nashville, TN",631,1805,184.55,AA,0.5113,193.57,WN,0.4382,178.78,-1,,
2024,3,30721,31650,"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN",1124,1797,232.01,DL,0.5869,281.16,SY,0.1974,127.75,-1,,
