DATA_REF_NO,SAMPLE_REF_NO,PROJECT,WATERSHED,SITE_TYPE,SAMPLE_SITE_NO,SITE_NAME,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_DATE,TIME_NULL,collecting_group,SAMPLE_ID,MEDIUM,DEPTH_IN_METERS,PARAM_TYPE,PARAMETER,QC_TYPE,QUALIFIER,RESULT,UNIT,QC_FLAG,METHOD,FILTER
2982280,592476,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,06/15/2023 10:15:00 AM,N,WRE,35-Barton Spg,Ground Water,,Oxygen,DISSOLVED OXYGEN,,,5.81,MG/L,,In-Situ Aqua Troll,Dissolved
2982286,592476,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,06/15/2023 10:15:00 AM,N,WRE,35-Barton Spg,Ground Water,,Conventionals,WATER TEMPERATURE,,,21.83,Deg. Celsius,,In-Situ Aqua Troll,Total
2981864,592381,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,05/31/2023 10:00:00 AM,N,WRE,35-Barton Spg,Ground Water,,Alkalinity/Hardness/pH,PH,,,7.07,Standard units,,In-Situ Aqua Troll,Total
2981993,592381,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,05/31/2023 10:00:00 AM,N,WRE,35-Barton Spg,Ground Water,,Oxygen,DISSOLVED OXYGEN,,,5.48,MG/L,,In-Situ Aqua Troll,Dissolved
2981836,592381,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,05/31/2023 10:00:00 AM,N,WRE,35-Barton Spg,Ground Water,,Conventionals,WATER TEMPERATURE,,,21.78,Deg. Celsius,,In-Situ Aqua Troll,Total
2975324,591813,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,04/19/2023 09:30:00 AM,N,WRE,35-Barton Spg,Ground Water,,Alkalinity/Hardness/pH,PH,,,7.2,Standard units,,In-Situ Aqua Troll,Total
2975316,591813,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,04/19/2023 09:30:00 AM,N,WRE,35-Barton Spg,Ground Water,,Oxygen,DISSOLVED OXYGEN,,,5.11,MG/L,,In-Situ Aqua Troll,Dissolved
2975332,591813,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,04/19/2023 09:30:00 AM,N,WRE,35-Barton Spg,Ground Water,,Clarity,TURBIDITY,,,0,NTU,,In-Situ Aqua Troll,Total
2975320,591813,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,04/19/2023 09:30:00 AM,N,WRE,35-Barton Spg,Ground Water,,Conventionals,WATER TEMPERATURE,,,21.5,Deg. Celsius,,In-Situ Aqua Troll,Total
2970080,591579,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,03/08/2023 11:35:00 AM,N,WRE,35-Barton Spg,Ground Water,,Oxygen,DISSOLVED OXYGEN,,,5.74,MG/L,,In-Situ Aqua Troll,Dissolved
